LatLong,nearest MRT,Count,travel time to RP in minutes
"1.28727739643389,103.810963565072",Redhill,19,26
"1.28797300869683,103.808839267852",Queenstown,9,31
"1.28707749551877,103.812705798881",Redhill,6,24
"1.274636588887,103.809632802144",Telok Blangah,18,35
"1.29065980562649,103.832608331993",Tiong Bahru,17,26
"1.2920752508431,103.828584077626",Tiong Bahru,12,29
"1.37494110084207,103.774856358424",Pending,11,46
"1.37756663543382,103.770660551039",Pending,14,62
"1.3810020467136,103.774054657076",Bangkit,14,60
"1.38804394182061,103.771067583616",Segar,48,60
"1.3870334545891,103.768120654409",Segar,16,59
"1.38602106063185,103.762854282454",Jelapang,23,56
"1.38031225526359,103.768073595817",Petir,10,58
"1.38394510110813,103.769613738594",Fajar,17,58
"1.38545862945551,103.765218708925",Jelapang,12,58
"1.38625610118184,103.762201338577",Jelapang,20,57
"1.37602800535195,103.769749123717",Pending,17,61
"1.37317516532605,103.774810614456",Pending,17,50
"1.38823731294211,103.772144523474",Segar,20,61
"1.37856756097104,103.770647361863",Pending,8,52
"1.38294179147406,103.763248348163",Senja,9,53
"1.3873519377776,103.767041821055",Jelapang,16,61
"1.37490881321342,103.773547829377",Pending,9,49
"1.37446597954509,103.773606267573",Pending,16,48
"1.38803622153251,103.766707751932",Jelapang,15,60
"1.38744862342634,103.763847246671",Jelapang,17,59
"1.38624340292657,103.76183758098",Jelapang,15,57
"1.38652802373559,103.759278980746",Senja,59,58
"1.38729105122449,103.770822142944",Segar,43,58
"1.37924529892586,103.765881569885",Petir,21,51
"1.38431966142748,103.768865859999",Fajar,11,60
"1.38840059034957,103.771882173939",Segar,23,60
"1.37550299063609,103.768952438105",Pending,9,55
"1.3752246947281,103.765922512219",Petir,21,55
"1.38372141309007,103.763127773739",Senja,24,54
"1.38055432084398,103.768730366658",Petir,6,58
"1.38007208808669,103.771833647326",Bangkit,4,59
"1.38406017042576,103.761928633149",Senja,17,54
"1.38784691893593,103.764249304524",Jelapang,7,58
"1.38422183055836,103.763766919593",Senja,18,57
"1.37481680083006,103.765109335954",Petir,16,53
"1.38021544120199,103.766302173684",Petir,14,52
"1.38038712496611,103.76535460069",Petir,31,52
"1.38129574701623,103.761571341904",Senja,24,50
"1.38691070954118,103.763310183378",Jelapang,15,58
"1.3753466349656,103.770955400333",Pending,10,56
"1.37712962824254,103.766171200009",Petir,5,54
"1.3385120672333,103.774569823527",Beauty World,23,44
"1.31655990980042,103.807288102167",Farrer Road,10,36
"1.33931085810035,103.772051477646",Beauty World,8,45
"1.2876742577682,103.838857901085",Chinatown,17,28
"1.30743547948389,103.854713903431",Jalan Besar,20,23
"1.29900941828595,103.852284903161",Bencoolen,19,20
"1.28485860802646,103.842578771054",Chinatown,13,17
"1.27624052001347,103.843006115698",Tanjong Pagar,19,14
"1.30093267323152,103.853991004773",Bugis,24,17
"1.29685311080014,103.853347534791",Bras Basah,13,17
"1.27744909387079,103.841666679651",Outram Park,60,17
"1.27598699469414,103.841191762017",Outram Park,53,21
"1.27779940676005,103.841403430465",Outram Park,60,18
"1.37787904560638,103.752103670331",Teck Whye,19,64
"1.37850799248774,103.750707442454",Keat Hong,14,63
"1.37782264943043,103.735012354055",South View,11,65
"1.37830357075531,103.750108106647",Keat Hong,10,59
"1.38012964850802,103.738888788773",South View,8,59
"1.40067815960728,103.751377169268",Yew Tee,45,55
"1.37893677955462,103.751182368998",Keat Hong,12,63
"1.38225681754484,103.740957419462",Choa Chu Kang,18,52
"1.40333610825505,103.745131655848",Yew Tee,24,58
"1.39426765794686,103.749319274696",Yew Tee,13,54
"1.38065374945261,103.746367289377",South View,7,54
"1.37944749879618,103.748287404475",Keat Hong,10,55
"1.37918786548209,103.756782882659",Phoenix,20,48
"1.38334049587446,103.742083284398",Choa Chu Kang,8,52
"1.38216660471552,103.742248296899",South View,10,52
"1.37944877151316,103.747548438263",Keat Hong,6,55
"1.3820241469387,103.740310723833",Choa Chu Kang,11,54
"1.39914640891261,103.747205206781",Yew Tee,13,48
"1.40044599472035,103.749872437775",Yew Tee,11,52
"1.38237300282948,103.741352257872",Choa Chu Kang,8,52
"1.39846759584272,103.744645761889",Yew Tee,4,49
"1.38180972459048,103.742381573149",South View,20,54
"1.39737094150025,103.749602912203",Yew Tee,8,51
"1.38213706651981,103.743397515205",South View,7,50
"1.37997802767876,103.73490597126",South View,18,62
"1.40298901385209,103.750320068403",Yew Tee,18,56
"1.4002092135442,103.751271374918",Yew Tee,28,54
"1.40313482841143,103.749793059631",Yew Tee,20,55
"1.39302712654645,103.747272500906",Yew Tee,12,58
"1.39371134802136,103.743772016448",Yew Tee,6,54
"1.40277627634375,103.751539941559",Yew Tee,25,58
"1.37856931410449,103.738475704352",South View,10,59
"1.37900459646071,103.745926026056",South View,10,56
"1.39832020549644,103.745880121798",Yew Tee,15,48
"1.39587445047224,103.749162518106",Yew Tee,8,51
"1.4025550181861,103.748021726542",Yew Tee,7,55
"1.37684772581631,103.741509048162",South View,8,61
"1.39818137625177,103.744630700747",Yew Tee,6,49
"1.40198475097106,103.750788391041",Yew Tee,10,57
"1.37788964623982,103.754239909547",Teck Whye,12,57
"1.30315360303876,103.761943675943",Clementi,37,55
"1.30724339919962,103.761156216846",Clementi,23,49
"1.30423592481834,103.76785339614",Clementi,13,45
"1.31912618587195,103.766983653394",Clementi,22,36
"1.3171180855602,103.769961809562",Clementi,25,38
"1.32189101790957,103.770595265822",Clementi,10,47
"1.31966444986442,103.769139491506",Clementi,34,42
"1.31535006995344,103.770861377512",Clementi,32,41
"1.31518502692041,103.768432708555",Clementi,18,38
"1.32206109134409,103.766014023221",Clementi,12,41
"1.31240641918888,103.768752275192",Clementi,24,35
"1.32057465713359,103.768211873157",Clementi,26,40
"1.31326223835886,103.764974179003",Clementi,5,31
"1.31017571904177,103.77000324485",Clementi,34,42
"1.304777153125,103.763121970707",Clementi,14,50
"1.3019178771328,103.763073374343",Clementi,28,52
"1.30533046157853,103.762003588469",Clementi,11,51
"1.30369740104798,103.769476904205",Clementi,32,45
"1.31677716280701,103.770897098036",Clementi,18,40
"1.31087920188873,103.769572621889",Clementi,17,40
"1.31514159529226,103.766056205529",Clementi,14,29
"1.321415896635,103.76710548935",Clementi,21,39
"1.31109915509699,103.766399536327",Clementi,24,35
"1.30310124001611,103.763413053663",Clementi,10,54
"1.30360871033936,103.763359143047",Clementi,14,50
"1.32615469503568,103.886047023988",Mattar,24,31
"1.32648228290473,103.885544901533",Mattar,29,31
"1.32965461509134,103.887183600084",MacPherson,23,34
"1.33119721401346,103.886976681713",Tai Seng,15,36
"1.33016619500294,103.887785274744",MacPherson,19,37
"1.32577527145564,103.885703636114",Mattar,23,32
"1.32584857614009,103.887926514332",MacPherson,26,31
"1.332283325328,103.885620100954",Tai Seng,3,38
"1.32818500802398,103.886452678157",Mattar,12,33
"1.33018852048052,103.887508672167",MacPherson,22,28
"1.32740031002016,103.887203611284",MacPherson,19,33
"1.32513240286821,103.885610754075",Mattar,25,32
"1.32377995139071,103.902330351336",Eunos,21,30
"1.3305113506657,103.901087844197",Ubi,15,32
"1.31210124370815,103.897187082666",Paya Lebar,21,36
"1.30840477810117,103.887347527399",Dakota,24,38
"1.32905963512054,103.88692527127",MacPherson,17,33
"1.31483950176268,103.895865169739",Paya Lebar,8,32
"1.31830920155713,103.88775401322",Aljunied,7,27
"1.32018325530871,103.90080491512",Eunos,29,26
"1.32635938429734,103.899753061623",Ubi,14,38
"1.31747603013691,103.876354059117",Geylang Bahru,11,32
"1.32385645591054,103.887585356152",MacPherson,17,34
"1.31700019582001,103.875994635636",Geylang Bahru,5,30
"1.3268514971691,103.886394299529",Mattar,6,32
"1.31821153053878,103.884752333398",Aljunied,15,25
"1.31258917369124,103.896591193187",Paya Lebar,17,36
"1.31599388873107,103.886008964798",Aljunied,5,24
"1.31859419589813,103.899680218483",Eunos,19,29
"1.30944315518034,103.883336276334",Mountbatten,32,32
